A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Solved,22
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Unsolved,0
Beam 80,800,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Unsolved,0
Beam 80,800,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Unsolved,0
Beam 80,800,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Unsolved,0
Beam 80,800,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Unsolved,0
Beam 80,800,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Solved,18
Beam 80,800,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Solved,20
Beam 80,800,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Solved,20
Beam 80,800,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Solved,20
Beam 80,800,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Solved,20
Beam 80,800,Unsolved,0
A-Star h1,900,Unsolved,0
A-Star h2,900,Solved,20
Beam 80,900,Unsolved,0
A-Star h1,900,Unsolved,0
A-Star h2,900,Solved,20
Beam 80,900,Unsolved,0
A-Star h1,900,Unsolved,0
A-Star h2,900,Solved,20
Beam 80,900,Unsolved,0
A-Star h1,900,Unsolved,0
A-Star h2,900,Solved,22
Beam 80,900,Unsolved,0
A-Star h1,900,Unsolved,0
A-Star h2,900,Solved,18
Beam 80,900,Unsolved,0
A-Star h1,900,Unsolved,0
A-Star h2,900,Solved,22
Beam 80,900,Unsolved,0
A-Star h1,900,Unsolved,0
A-Star h2,900,Solved,20
Beam 80,900,Unsolved,0
A-Star h1,900,Unsolved,0
A-Star h2,900,Solved,20
Beam 80,900,Unsolved,0
A-Star h1,900,Solved,16
A-Star h2,900,Solved,16
Beam 80,900,Unsolved,0
A-Star h1,900,Unsolved,0
A-Star h2,900,Solved,22
Beam 80,900,Unsolved,0
A-Star h1,1000,Unsolved,0
A-Star h2,1000,Solved,20
Beam 80,1000,Unsolved,0
A-Star h1,1000,Unsolved,0
A-Star h2,1000,Unsolved,0
Beam 80,1000,Unsolved,0
A-Star h1,1000,Unsolved,0
A-Star h2,1000,Unsolved,0
Beam 80,1000,Unsolved,0
A-Star h1,1000,Unsolved,0
A-Star h2,1000,Solved,22
Beam 80,1000,Unsolved,0
A-Star h1,1000,Unsolved,0
A-Star h2,1000,Solved,22
Beam 80,1000,Unsolved,0
A-Star h1,1000,Unsolved,0
A-Star h2,1000,Solved,22
Beam 80,1000,Unsolved,0
A-Star h1,1000,Unsolved,0
A-Star h2,1000,Solved,22
Beam 80,1000,Unsolved,0
A-Star h1,1000,Unsolved,0
A-Star h2,1000,Unsolved,0
Beam 80,1000,Unsolved,0
A-Star h1,1000,Unsolved,0
A-Star h2,1000,Solved,18
Beam 80,1000,Unsolved,0
A-Star h1,1000,Unsolved,0
A-Star h2,1000,Solved,22
Beam 80,1000,Unsolved,0
A-Star h1,1100,Unsolved,0
A-Star h2,1100,Solved,20
Beam 80,1100,Unsolved,0
A-Star h1,1100,Unsolved,0
A-Star h2,1100,Solved,20
Beam 80,1100,Unsolved,0
A-Star h1,1100,Unsolved,0
A-Star h2,1100,Solved,20
Beam 80,1100,Unsolved,0
A-Star h1,1100,Unsolved,0
A-Star h2,1100,Solved,20
Beam 80,1100,Unsolved,0
A-Star h1,1100,Unsolved,0
A-Star h2,1100,Unsolved,0
Beam 80,1100,Unsolved,0
A-Star h1,1100,Unsolved,0
A-Star h2,1100,Solved,22
Beam 80,1100,Unsolved,0
A-Star h1,1100,Unsolved,0
A-Star h2,1100,Unsolved,0
Beam 80,1100,Unsolved,0
A-Star h1,1100,Unsolved,0
A-Star h2,1100,Unsolved,0
Beam 80,1100,Unsolved,0
A-Star h1,1100,Unsolved,0
A-Star h2,1100,Unsolved,0
Beam 80,1100,Unsolved,0
A-Star h1,1100,Unsolved,0
A-Star h2,1100,Unsolved,0
Beam 80,1100,Unsolved,0
A-Star h1,1200,Unsolved,0
A-Star h2,1200,Unsolved,0
Beam 80,1200,Unsolved,0
A-Star h1,1200,Unsolved,0
A-Star h2,1200,Unsolved,0
Beam 80,1200,Unsolved,0
A-Star h1,1200,Unsolved,0
A-Star h2,1200,Unsolved,0
Beam 80,1200,Unsolved,0
A-Star h1,1200,Unsolved,0
A-Star h2,1200,Unsolved,0
Beam 80,1200,Unsolved,0
A-Star h1,1200,Unsolved,0
A-Star h2,1200,Unsolved,0
Beam 80,1200,Unsolved,0
A-Star h1,1200,Unsolved,0
A-Star h2,1200,Solved,22
Beam 80,1200,Unsolved,0
A-Star h1,1200,Unsolved,0
A-Star h2,1200,Unsolved,0
Beam 80,1200,Unsolved,0
A-Star h1,1200,Unsolved,0
A-Star h2,1200,Unsolved,0
Beam 80,1200,Unsolved,0
A-Star h1,1200,Unsolved,0
A-Star h2,1200,Unsolved,0
Beam 80,1200,Unsolved,0
A-Star h1,1200,Unsolved,0
A-Star h2,1200,Unsolved,0
Beam 80,1200,Unsolved,0
A-Star h1,1300,Unsolved,0
A-Star h2,1300,Unsolved,0
Beam 80,1300,Unsolved,0
A-Star h1,1300,Unsolved,0
A-Star h2,1300,Unsolved,0
Beam 80,1300,Unsolved,0
A-Star h1,1300,Unsolved,0
A-Star h2,1300,Unsolved,0
Beam 80,1300,Unsolved,0
A-Star h1,1300,Unsolved,0
A-Star h2,1300,Unsolved,0
Beam 80,1300,Unsolved,0
A-Star h1,1300,Unsolved,0
A-Star h2,1300,Unsolved,0
Beam 80,1300,Unsolved,0
A-Star h1,1300,Unsolved,0
A-Star h2,1300,Unsolved,0
Beam 80,1300,Unsolved,0
A-Star h1,1300,Unsolved,0
A-Star h2,1300,Solved,22
Beam 80,1300,Unsolved,0
A-Star h1,1300,Solved,18
A-Star h2,1300,Solved,18
Beam 80,1300,Unsolved,0
A-Star h1,1300,Unsolved,0
A-Star h2,1300,Solved,20
Beam 80,1300,Unsolved,0
A-Star h1,1300,Unsolved,0
A-Star h2,1300,Solved,20
Beam 80,1300,Unsolved,0
A-Star h1,1400,Unsolved,0
A-Star h2,1400,Solved,22
Beam 80,1400,Unsolved,0
A-Star h1,1400,Unsolved,0
A-Star h2,1400,Solved,22
Beam 80,1400,Unsolved,0
A-Star h1,1400,Unsolved,0
A-Star h2,1400,Unsolved,0
Beam 80,1400,Unsolved,0
A-Star h1,1400,Unsolved,0
A-Star h2,1400,Solved,22
Beam 80,1400,Unsolved,0
A-Star h1,1400,Unsolved,0
A-Star h2,1400,Solved,20
Beam 80,1400,Unsolved,0
A-Star h1,1400,Solved,16
A-Star h2,1400,Solved,16
Beam 80,1400,Unsolved,0
A-Star h1,1400,Unsolved,0
A-Star h2,1400,Solved,20
Beam 80,1400,Unsolved,0
A-Star h1,1400,Solved,18
A-Star h2,1400,Solved,18
Beam 80,1400,Unsolved,0
A-Star h1,1400,Unsolved,0
A-Star h2,1400,Solved,20
Beam 80,1400,Unsolved,0
A-Star h1,1400,Solved,18
A-Star h2,1400,Solved,18
Beam 80,1400,Unsolved,0
A-Star h1,1500,Solved,18
A-Star h2,1500,Solved,18
Beam 80,1500,Unsolved,0
A-Star h1,1500,Unsolved,0
A-Star h2,1500,Solved,18
Beam 80,1500,Unsolved,0
A-Star h1,1500,Solved,8
A-Star h2,1500,Solved,8
Beam 80,1500,Solved,9
A-Star h1,1500,Solved,10
A-Star h2,1500,Solved,10
Beam 80,1500,Solved,11
A-Star h1,1500,Unsolved,0
A-Star h2,1500,Solved,20
Beam 80,1500,Unsolved,0
A-Star h1,1500,Unsolved,0
A-Star h2,1500,Solved,20
Beam 80,1500,Unsolved,0
A-Star h1,1500,Unsolved,0
A-Star h2,1500,Solved,20
Beam 80,1500,Unsolved,0
A-Star h1,1500,Unsolved,0
A-Star h2,1500,Solved,22
Beam 80,1500,Unsolved,0
A-Star h1,1500,Unsolved,0
A-Star h2,1500,Solved,22
Beam 80,1500,Unsolved,0
A-Star h1,1500,Unsolved,0
A-Star h2,1500,Solved,20
Beam 80,1500,Unsolved,0
A-Star h1,1600,Unsolved,0
A-Star h2,1600,Solved,20
Beam 80,1600,Unsolved,0
A-Star h1,1600,Unsolved,0
A-Star h2,1600,Solved,22
Beam 80,1600,Unsolved,0
A-Star h1,1600,Unsolved,0
A-Star h2,1600,Unsolved,0
Beam 80,1600,Unsolved,0
A-Star h1,1600,Unsolved,0
A-Star h2,1600,Unsolved,0
Beam 80,1600,Unsolved,0
A-Star h1,1600,Unsolved,0
A-Star h2,1600,Solved,20
Beam 80,1600,Unsolved,0
A-Star h1,1600,Solved,16
A-Star h2,1600,Solved,16
Beam 80,1600,Unsolved,0
A-Star h1,1600,Unsolved,0
A-Star h2,1600,Solved,22
Beam 80,1600,Unsolved,0
A-Star h1,1600,Unsolved,0
A-Star h2,1600,Unsolved,0
Beam 80,1600,Unsolved,0
A-Star h1,1600,Unsolved,0
A-Star h2,1600,Unsolved,0
Beam 80,1600,Unsolved,0
A-Star h1,1600,Unsolved,0
A-Star h2,1600,Unsolved,0
Beam 80,1600,Unsolved,0
A-Star h1,1700,Unsolved,0
A-Star h2,1700,Solved,20
Beam 80,1700,Unsolved,0
A-Star h1,1700,Unsolved,0
A-Star h2,1700,Unsolved,0
Beam 80,1700,Unsolved,0
A-Star h1,1700,Unsolved,0
A-Star h2,1700,Unsolved,0
Beam 80,1700,Unsolved,0
A-Star h1,1700,Unsolved,0
A-Star h2,1700,Unsolved,0
Beam 80,1700,Unsolved,0
A-Star h1,1700,Unsolved,0
A-Star h2,1700,Unsolved,0
Beam 80,1700,Unsolved,0
A-Star h1,1700,Unsolved,0
A-Star h2,1700,Unsolved,0
Beam 80,1700,Unsolved,0
A-Star h1,1700,Unsolved,0
A-Star h2,1700,Unsolved,0
Beam 80,1700,Unsolved,0
A-Star h1,1700,Unsolved,0
A-Star h2,1700,Unsolved,0
Beam 80,1700,Unsolved,0
A-Star h1,1700,Solved,18
A-Star h2,1700,Solved,18
Beam 80,1700,Unsolved,0
A-Star h1,1700,Unsolved,0
A-Star h2,1700,Solved,22
Beam 80,1700,Unsolved,0
A-Star h1,1800,Unsolved,0
A-Star h2,1800,Unsolved,0
Beam 80,1800,Unsolved,0
A-Star h1,1800,Unsolved,0
A-Star h2,1800,Solved,22
Beam 80,1800,Unsolved,0
A-Star h1,1800,Unsolved,0
A-Star h2,1800,Unsolved,0
Beam 80,1800,Unsolved,0
A-Star h1,1800,Unsolved,0
A-Star h2,1800,Unsolved,0
Beam 80,1800,Unsolved,0
A-Star h1,1800,Unsolved,0
A-Star h2,1800,Unsolved,0
Beam 80,1800,Unsolved,0
A-Star h1,1800,Unsolved,0
A-Star h2,1800,Unsolved,0
Beam 80,1800,Unsolved,0
A-Star h1,1800,Unsolved,0
A-Star h2,1800,Unsolved,0
Beam 80,1800,Unsolved,0
A-Star h1,1800,Unsolved,0
A-Star h2,1800,Solved,20
Beam 80,1800,Unsolved,0
A-Star h1,1800,Solved,18
A-Star h2,1800,Solved,18
Beam 80,1800,Unsolved,0
A-Star h1,1800,Solved,18
A-Star h2,1800,Solved,18
Beam 80,1800,Unsolved,0
A-Star h1,1900,Unsolved,0
A-Star h2,1900,Solved,22
Beam 80,1900,Unsolved,0
A-Star h1,1900,Unsolved,0
A-Star h2,1900,Solved,20
Beam 80,1900,Unsolved,0
A-Star h1,1900,Unsolved,0
A-Star h2,1900,Solved,22
Beam 80,1900,Unsolved,0
A-Star h1,1900,Solved,18
A-Star h2,1900,Solved,18
Beam 80,1900,Unsolved,0
A-Star h1,1900,Unsolved,0
A-Star h2,1900,Solved,24
Beam 80,1900,Unsolved,0
A-Star h1,1900,Unsolved,0
A-Star h2,1900,Solved,24
Beam 80,1900,Unsolved,0
A-Star h1,1900,Unsolved,0
A-Star h2,1900,Unsolved,0
Beam 80,1900,Unsolved,0
A-Star h1,1900,Unsolved,0
A-Star h2,1900,Solved,24
Beam 80,1900,Unsolved,0
A-Star h1,1900,Unsolved,0
A-Star h2,1900,Solved,24
Beam 80,1900,Unsolved,0
A-Star h1,1900,Unsolved,0
A-Star h2,1900,Solved,24
Beam 80,1900,Unsolved,0
A-Star h1,2000,Unsolved,0
A-Star h2,2000,Unsolved,0
Beam 80,2000,Unsolved,0
A-Star h1,2000,Unsolved,0
A-Star h2,2000,Unsolved,0
Beam 80,2000,Unsolved,0
A-Star h1,2000,Unsolved,0
A-Star h2,2000,Solved,22
Beam 80,2000,Unsolved,0
A-Star h1,2000,Unsolved,0
A-Star h2,2000,Solved,24
Beam 80,2000,Unsolved,0
A-Star h1,2000,Unsolved,0
A-Star h2,2000,Unsolved,0
Beam 80,2000,Unsolved,0
A-Star h1,2000,Unsolved,0
A-Star h2,2000,Solved,24
Beam 80,2000,Unsolved,0
A-Star h1,2000,Unsolved,0
A-Star h2,2000,Unsolved,0
Beam 80,2000,Unsolved,0
A-Star h1,2000,Unsolved,0
A-Star h2,2000,Unsolved,0
Beam 80,2000,Unsolved,0
A-Star h1,2000,Unsolved,0
A-Star h2,2000,Unsolved,0
Beam 80,2000,Unsolved,0
A-Star h1,2000,Unsolved,0
A-Star h2,2000,Solved,22
Beam 80,2000,Unsolved,0
A-Star h1,2100,Unsolved,0
A-Star h2,2100,Solved,20
Beam 80,2100,Unsolved,0
A-Star h1,2100,Unsolved,0
A-Star h2,2100,Solved,20
Beam 80,2100,Unsolved,0
A-Star h1,2100,Unsolved,0
A-Star h2,2100,Solved,20
Beam 80,2100,Unsolved,0
A-Star h1,2100,Unsolved,0
A-Star h2,2100,Solved,22
Beam 80,2100,Unsolved,0
A-Star h1,2100,Unsolved,0
A-Star h2,2100,Solved,20
Beam 80,2100,Unsolved,0
A-Star h1,2100,Unsolved,0
A-Star h2,2100,Solved,20
Beam 80,2100,Unsolved,0
A-Star h1,2100,Solved,18
A-Star h2,2100,Solved,18
Beam 80,2100,Unsolved,0
A-Star h1,2100,Unsolved,0
A-Star h2,2100,Solved,22
Beam 80,2100,Unsolved,0
A-Star h1,2100,Unsolved,0
A-Star h2,2100,Unsolved,0
Beam 80,2100,Unsolved,0
A-Star h1,2100,Solved,18
A-Star h2,2100,Solved,18
Beam 80,2100,Unsolved,0
A-Star h1,2200,Solved,18
A-Star h2,2200,Solved,18
Beam 80,2200,Unsolved,0
A-Star h1,2200,Unsolved,0
A-Star h2,2200,Unsolved,0
Beam 80,2200,Unsolved,0
A-Star h1,2200,Unsolved,0
A-Star h2,2200,Solved,22
Beam 80,2200,Unsolved,0
A-Star h1,2200,Unsolved,0
A-Star h2,2200,Solved,22
Beam 80,2200,Unsolved,0
A-Star h1,2200,Unsolved,0
A-Star h2,2200,Solved,22
Beam 80,2200,Unsolved,0
A-Star h1,2200,Unsolved,0
A-Star h2,2200,Solved,20
Beam 80,2200,Unsolved,0
A-Star h1,2200,Solved,18
A-Star h2,2200,Solved,18
Beam 80,2200,Unsolved,0
A-Star h1,2200,Unsolved,0
A-Star h2,2200,Solved,20
Beam 80,2200,Unsolved,0
A-Star h1,2200,Unsolved,0
A-Star h2,2200,Unsolved,0
Beam 80,2200,Unsolved,0
A-Star h1,2200,Unsolved,0
A-Star h2,2200,Solved,22
Beam 80,2200,Unsolved,0
A-Star h1,2300,Solved,18
A-Star h2,2300,Solved,18
Beam 80,2300,Unsolved,0
A-Star h1,2300,Unsolved,0
A-Star h2,2300,Solved,22
Beam 80,2300,Unsolved,0
A-Star h1,2300,Unsolved,0
A-Star h2,2300,Solved,22
Beam 80,2300,Unsolved,0
A-Star h1,2300,Unsolved,0
A-Star h2,2300,Solved,22
Beam 80,2300,Unsolved,0
A-Star h1,2300,Unsolved,0
A-Star h2,2300,Unsolved,0
Beam 80,2300,Unsolved,0
A-Star h1,2300,Unsolved,0
A-Star h2,2300,Solved,24
Beam 80,2300,Unsolved,0
A-Star h1,2300,Unsolved,0
A-Star h2,2300,Solved,24
Beam 80,2300,Unsolved,0
A-Star h1,2300,Unsolved,0
A-Star h2,2300,Solved,22
Beam 80,2300,Unsolved,0
A-Star h1,2300,Unsolved,0
A-Star h2,2300,Solved,24
Beam 80,2300,Unsolved,0
A-Star h1,2300,Unsolved,0
A-Star h2,2300,Solved,22
Beam 80,2300,Unsolved,0
A-Star h1,2400,Unsolved,0
A-Star h2,2400,Unsolved,0
Beam 80,2400,Unsolved,0
A-Star h1,2400,Unsolved,0
A-Star h2,2400,Unsolved,0
Beam 80,2400,Unsolved,0
A-Star h1,2400,Unsolved,0
A-Star h2,2400,Unsolved,0
Beam 80,2400,Unsolved,0
A-Star h1,2400,Unsolved,0
A-Star h2,2400,Unsolved,0
Beam 80,2400,Unsolved,0
A-Star h1,2400,Unsolved,0
A-Star h2,2400,Unsolved,0
Beam 80,2400,Unsolved,0
A-Star h1,2400,Unsolved,0
A-Star h2,2400,Unsolved,0
Beam 80,2400,Unsolved,0
A-Star h1,2400,Unsolved,0
A-Star h2,2400,Solved,24
Beam 80,2400,Unsolved,0
A-Star h1,2400,Unsolved,0
A-Star h2,2400,Solved,24
Beam 80,2400,Unsolved,0
A-Star h1,2400,Unsolved,0
A-Star h2,2400,Solved,22
Beam 80,2400,Unsolved,0
A-Star h1,2400,Unsolved,0
A-Star h2,2400,Solved,22
Beam 80,2400,Unsolved,0
A-Star h1,2500,Unsolved,0
A-Star h2,2500,Solved,20
Beam 80,2500,Unsolved,0
A-Star h1,2500,Unsolved,0
A-Star h2,2500,Solved,22
Beam 80,2500,Unsolved,0
A-Star h1,2500,Unsolved,0
A-Star h2,2500,Solved,22
Beam 80,2500,Unsolved,0
A-Star h1,2500,Unsolved,0
A-Star h2,2500,Solved,20
Beam 80,2500,Unsolved,0
A-Star h1,2500,Unsolved,0
A-Star h2,2500,Solved,20
Beam 80,2500,Unsolved,0
A-Star h1,2500,Unsolved,0
A-Star h2,2500,Solved,24
Beam 80,2500,Unsolved,0
A-Star h1,2500,Unsolved,0
A-Star h2,2500,Solved,22
Beam 80,2500,Unsolved,0
A-Star h1,2500,Unsolved,0
A-Star h2,2500,Solved,22
Beam 80,2500,Unsolved,0
A-Star h1,2500,Unsolved,0
A-Star h2,2500,Solved,22
Beam 80,2500,Unsolved,0
A-Star h1,2500,Unsolved,0
A-Star h2,2500,Solved,22
Beam 80,2500,Unsolved,0
A-Star h1,2600,Unsolved,0
A-Star h2,2600,Unsolved,0
Beam 80,2600,Unsolved,0
A-Star h1,2600,Unsolved,0
A-Star h2,2600,Solved,24
Beam 80,2600,Unsolved,0
A-Star h1,2600,Unsolved,0
A-Star h2,2600,Unsolved,0
Beam 80,2600,Unsolved,0
A-Star h1,2600,Unsolved,0
A-Star h2,2600,Solved,24
Beam 80,2600,Unsolved,0
A-Star h1,2600,Solved,18
A-Star h2,2600,Solved,18
Beam 80,2600,Unsolved,0
A-Star h1,2600,Solved,16
A-Star h2,2600,Solved,16
Beam 80,2600,Solved,17
A-Star h1,2600,Solved,18
A-Star h2,2600,Solved,18
Beam 80,2600,Unsolved,0
A-Star h1,2600,Unsolved,0
A-Star h2,2600,Solved,20
Beam 80,2600,Unsolved,0
A-Star h1,2600,Solved,18
A-Star h2,2600,Solved,18
Beam 80,2600,Unsolved,0
A-Star h1,2600,Unsolved,0
A-Star h2,2600,Solved,22
Beam 80,2600,Unsolved,0
A-Star h1,2700,Unsolved,0
A-Star h2,2700,Solved,22
Beam 80,2700,Unsolved,0
A-Star h1,2700,Unsolved,0
A-Star h2,2700,Solved,22
Beam 80,2700,Unsolved,0
A-Star h1,2700,Unsolved,0
A-Star h2,2700,Solved,20
Beam 80,2700,Unsolved,0
A-Star h1,2700,Solved,18
A-Star h2,2700,Solved,18
Beam 80,2700,Unsolved,0
A-Star h1,2700,Solved,18
A-Star h2,2700,Solved,18
Beam 80,2700,Solved,19
A-Star h1,2700,Unsolved,0
A-Star h2,2700,Solved,20
Beam 80,2700,Unsolved,0
